id;personnage;acteur;episode;group;date_naissance_acteur;nom_personnage;prenom_personnage;nom_acteur;prenom_acteur;date_naissance_personnage
232;Drew;Michael DiMaggio;['410'];Proche;06/11/2013;Drew;Professeur;DiMaggio;Michael;
233;Tim;Kevin Rahm;['805'];Proche;07/01/1971;Tim;Professeur;Rahm;Kevin;
234;Mike;Jamie Kaler;['410'];Proche;14/09/1964;Mike;Professeur;Kaler;Jamie;
235;Jeannine;Wendy Schall;['312'];Proche;02/07/1954;Jeannine;Professeur;Schall;Wendy;
236;Melanie;Corinne Bohrer;['124'];Proche;18/10/1958;Melanie;Professeur;Bohrer;Corinne;
237;Hope Brady;Kristian Alfonso;['615'];Proche;05/09/1963;Brady;Hope;Alfonso;Kristian;
238;Nonnie Tribbiani;Lilyan Chauvin;['519'];Proche;06/08/1925;Tribbiani;Nonnie;Chauvin;Lilyan;
239;Dave;Zen Gesner;['502'];Proche;23/06/1970;Dave;Nonnie;Gesner;Zen;
240;Petite amie scientifique de Ross;Sarah O’Hare;['707'];Proche;31/05/1972;Ross;Petite amie scientifique de;O’Hare;Sarah;
241;Infirmière, actrice de Days Of Our Lives;Cynthia Graham;['704'];Proche;;Lives;Infirmière, actrice de Days Of Our;Graham;Cynthia;
242;Infirmière, actrice de Days Of Our Lives;Renee Louise Roger;['704'];Proche;;Lives;Infirmière, actrice de Days Of Our;Roger;Renee Louise;
243;Dr Wesley;Kevin Spirtas;['615'];Proche;;Wesley;Dr;Spirtas;Kevin;
244;Adrienne Turner;Kimberley Davies;['1011'];Proche;20/02/1973;Turner;Adrienne;Davies;Kimberley;
245;Ross enfant;Edo Azram;['304'];Proche;;enfant;Ross;Azram;Edo;
246;Alan;Goeffrey Lower;['103'];Proche;;Alan;Ross;Lower;Goeffrey;
247;Misha;Stephen Kearny;['315'];Proche;30/08/1794;Misha;Ross;Kearny;Stephen;
248;Jordan;Teck Holmes;['915'];Proche;;Jordan;Ross;Holmes;Teck;
249;Kathy;Cody Tucher;['704'];Proche;;Kathy;Ross;Tucher;Cody;
250;Chase Lassiter;Blake Reed;['919'];Proche;;Lassiter;Chase;Reed;Blake;
251;Olivia;Marisol Nichols;['919'];Proche;02/11/1973;Olivia;Chase;Nichols;Marisol;
252;Joey Tribbiani Sr;Robert Costanzo;['113'];Proche;20/10/1942;Sr;Joey Tribbiani;Costanzo;Robert;
253;Frannie;Robyn Donny;['711'];Proche;;Frannie;Joey Tribbiani;Donny;Robyn;
254;Dina;Eva Amurri;['715'];Proche;15/03/1985;Dina;Joey Tribbiani;Amurri;Eva;
255;Celia;Melora Hardin;['115'];Proche;29/06/1967;Celia;Joey Tribbiani;Hardin;Melora;
256;Nancy;Hilary Matthews;['312'];Proche;;Nancy;Joey Tribbiani;Matthews;Hilary;
257;Lorraine;Nancy Valen;['114'];Proche;16/12/1965;Lorraine;Joey Tribbiani;Valen;Nancy;
258;Ethan;Stan Kirsch;['122'];Proche;15/07/1968;Ethan;Joey Tribbiani;Kirsch;Stan;
259;Larry;Gregory Sporleder;['507'];Proche;14/04/1964;Larry;Joey Tribbiani;Sporleder;Gregory;
260;Terry;Michael Kagan;['704'];Proche;28/04/1944;Terry;Joey Tribbiani;Kagan;Michael;
261;Infirmière à l’hôpital;Cacey Riggan;['615'];Proche;;l’hôpital;Infirmière à;Riggan;Cacey;
262;Tom;Jack Belts;['715'];Proche;11/04/1929;Tom;Infirmière à;Belts;Jack;
263;Mary-Theresa Tribbiani;Mimi Leiber;['311'];Proche;;Tribbiani;Mary-Theresa;Leiber;Mimi;
264;Chrissy;Symba Smith;['211'];Proche;06/07/1970;Chrissy;Mary-Theresa;Smith;Symba;
265;Bob;Jack Armstrong;['105'];Proche;;Bob;Mary-Theresa;Armstrong;Jack;
266;Carl;Tommy Blaise;['124'];Proche;05/03/1963;Carl;Mary-Theresa;Blaise;Tommy;
267;Lizzy;Beth Grant;['103'];Proche;18/09/1949;Lizzy;Mary-Theresa;Grant;Beth;
268;Mme Lynch;Jennifer Rhodes;['409'];Proche;17/08/1947;Lynch;Mme;Rhodes;Jennifer;
269;Danielle;Lynn Clark;['120'];Proche;;Danielle;Mme;Clark;Lynn;
270;Lilian;Elinor Donahue;['108'];Proche;19/04/1937;Lilian;Mme;Donahue;Elinor;
271;Jessica Ashley;Alison Sweeney;['718'];Proche;19/09/1976;Ashley;Jessica;Sweeney;Alison;
272;Employé de Ralph Lauren;Alex Ball;['1014'];Proche;;Lauren;Employé de Ralph;Ball;Alex;
273;Vendeuse du parfumObsession;Lara Harris;['109'];Proche;;parfumObsession;Vendeuse du;Harris;Lara;
274;Hillary;Missy Pyle;['608'];Proche;16/11/1972;Hillary;Vendeuse du;Pyle;Missy;
275;Nonna;Penny Santon;['311'];Proche;02/09/1916;Nonna;Vendeuse du;Santon;Penny;
276;Kristen;Lisa Thornbill;['804'];Proche;30/09/1966;Kristen;Vendeuse du;Thornbill;Lisa;
277;Monica enfant;Sierra Dawn Hill;['304'];Proche;;enfant;Monica;Hill;Sierra Dawn;
278;Mr Franklin;Geoff Pierson;['805'];Proche;16/06/1949;Franklin;Mr;Pierson;Geoff;
279;Tante Millie;Darlene Kardan;['711'];Proche;12/12/1950;Millie;Tante;Kardan;Darlene;
280;Colleen;Kellie Waymire;['1002'];Proche;27/07/1967;Colleen;Tante;Waymire;Kellie;
281;Marsha;Merrill Merkoe;['102'];Proche;13/08/1948;Marsha;Tante;Merkoe;Merrill;
282;Jade;Britteny Powell;['205'];Proche;04/03/1972;Jade;Tante;Powell;Britteny;
283;Bob;Tom Bailey;['510'];Proche;18/01/1954;Bob;Tante;Bailey;Tom;
284;Laura;Maria Pitillo;['1007'];Proche;08/01/1966;Laura;Tante;Pitillo;Maria;
285;Rick;Jason Brooks;['404'];Proche;10/05/1966;Rick;Tante;Brooks;Jason;
286;Oncle Dan;John C. Moskoff;['818'];Proche;24/05/1965;Dan;Oncle;Moskoff;John C.;
287;Leslie Buffay;Allisyn et Ashley Arm;['1002'];Proche;25/04/1996;Buffay;Leslie;Arm;Allisyn et Ashley;
288;Chandler Buffay;Sierra Marcoux;['1002'];Proche;;Buffay;Chandler;Marcoux;Sierra;
289;Tante Lisa;Ellen Gerstein;['818'];Proche;29/04/1950;Lisa;Tante;Gerstein;Ellen;
290;Frank Jr Jr Buffay;Dante Pastula;['1002'];Proche;;Buffay;Frank Jr Jr;Pastula;Dante;
291;Bob;Chris Parnell;['805'];Proche;05/02/1967;Bob;Frank Jr Jr;Parnell;Chris;
292;Shelley;Nancy Cassaro;['108'];Proche;;Shelley;Frank Jr Jr;Cassaro;Nancy;
293;Mary-Angela Tribbiani;non créditée;['311'];Proche;;Tribbiani;Mary-Angela;créditée;non;
294;Dana;Bess Meyer;['618'];Proche;;Dana;Mary-Angela;Meyer;Bess;
295;Allessandro;Taylor Negron;['409'];Proche;01/08/1957;Allessandro;Mary-Angela;Negron;Taylor;
296;Mr Posner;Richard Fancy;['409'];Proche;02/08/1943;Posner;Mr;Fancy;Richard;
297;Bill;Jim Meskimen;['1002'];Proche;;Bill;Mr;Meskimen;Jim;
298;Andrew;Jack Ong;['411'];Proche;06/11/1940;Andrew;Mr;Ong;Jack;
299;Mrs Potter;Rhoda Gemignani;['404'];Proche;21/10/1939;Potter;Mrs;Gemignani;Rhoda;
300;Scott Alexander;Steve Park;['223'];Proche;23/08/1967;Alexander;Scott;Park;Steve;
301;Jeannie;Mary-Pat Green;['223'];Proche;24/09/1951;Jeannie;Scott;Green;Mary-Pat;
302;Nancy;Megan Ward;['518'];Proche;24/09/1969;Nancy;Scott;Ward;Megan;
303;Burt;Richard Roat;['618'];Proche;03/07/1933;Burt;Scott;Roat;Richard;
304;Joanne;Marianne Hagan;['104'];Proche;08/12/1966;Joanne;Scott;Hagan;Marianne;
305;Sarah;Anna Parisse;['1009'];Proche;31/07/1975;Sarah;Scott;Parisse;Anna;
306;Lowell;Stuart Fratkin;['108'];Proche;22/09/1963;Lowell;Scott;Fratkin;Stuart;
307;Heather;Cheryl Kennard;['912'];Proche;;Heather;Scott;Kennard;Cheryl;
308;Rhonda;Sherri Sheperd;['411'];Proche;;Rhonda;Scott;Sheperd;Sherri;
309;Mary Ellen;Dedee Pfeiffer;['903'];Proche;01/01/1964;Ellen;Mary;Pfeiffer;Dedee;
310;Leslie;Leesa Btyte;['104'];Proche;13/10/1994;Leslie;Mary;Btyte;Leesa;
311;Assistante un peu dingue de Chandler à Tulsa;Irene White;['909'];Proche;;Tulsa;Assistante un peu dingue de Chandler à;White;Irene;
312;Eldad;Josh Cox;['619'];Proche;;Eldad;Assistante un peu dingue de Chandler à;Cox;Josh;
313;Mrs McKenna;Janet Horbert;['902'];Proche;13/01/1956;McKenna;Mrs;Horbert;Janet;
314;Mr Thompson;Steve Hytner;['624'];Proche;;Thompson;Mr;Hytner;Steve;
315;Metteur en scène de Joey;Joe Colligan;['919'];Proche;;Joey;Metteur en scène de;Colligan;Joe;
316;Paula;Jenifer Lewis;['103'];Proche;25/01/1957;Paula;Metteur en scène de;Lewis;Jenifer;
317;Lydia;Louisa Abernathy;['618'];Proche;;Lydia;Metteur en scène de;Abernathy;Louisa;
318;Scott;Chip Chinery;['411'];Proche;;Scott;Metteur en scène de;Chinery;Chip;
319;Fausse Monica;Claudia Shears;['121'];Proche;;Monica;Fausse;Shears;Claudia;
320;Mel;David Moreland;['618'];Proche;;Mel;Fausse;Moreland;David;
321;Phil;Steve Dark;['324'];Proche;07/07/1959;Phil;Fausse;Dark;Steve;
322;Stevens;Joe O’Connor;['324'];Proche;;Stevens;Fausse;O’Connor;Joe;
323;Katherine;Adria Tennor;['820'];Proche;;Katherine;Fausse;Tennor;Adria;
324;Jeanette;Cynthia Newman;['922'];Proche;07/08/1955;Jeanette;Fausse;Newman;Cynthia;
325;Réceptionniste du centre de massage;Debra Azar;['921'];Proche;;massage;Réceptionniste du centre de;Azar;Debra;
326;Professeur Sherman;Dan Desmond;['922'];Proche;;Sherman;Professeur;Desmond;Dan;
327;Dr Biely;Cathy Lind Hayes;['1006'];Proche;25/06/1915;Biely;Dr;Hayes;Cathy Lind;
328;Dr Li;Ming Lo;['1006'];Proche;;Li;Dr;Lo;Ming;
329;Joan;Carla Touts;['1009'];Proche;;Joan;Dr;Touts;Carla;
330;Gerson;Brian Buckner;['122'];Proche;;Gerson;Dr;Buckner;Brian;
331;Responsable chez Empire Office Suplies;Joyce Guy;['713'];Proche;;Suplies;Responsable chez Empire Office;Guy;Joyce;
332;Petrie;Darryl Sivad;['122'];Proche;16/09/1989;Petrie;Responsable chez Empire Office;Sivad;Darryl;
333;Casey;non créditée;['407'];Proche;;Casey;Responsable chez Empire Office;créditée;non;
334;Pompier, brancardier de Chandler et vampire dans une vidéo X;Douglas Looper;['323', '508', '614'];Anodin;;X;Pompier, brancardier de Chandler et vampire dans une vidéo;Looper;Douglas;
335;Directrice de casting, gérante d’un magasin de robes de mariée et démonstratrice de parfums;Kim Harris;['604', '717', '922'];Anodin;24/01/1952;parfums;Directrice de casting, gérante d’un magasin de robes de mariée et démonstratrice de;Harris;Kim;
336;Directeur de casting, client de cabaret, serveur;Joe Everett Michaels;['604', '722', '923'];Anodin;;serveur;Directeur de casting, client de cabaret,;Michaels;Joe Everett;
337;Client du Central Perk, serveur au restaurant et responsable de jeu;Matthew Mullany;['612', '801', '1011'];Anodin;;jeu;Client du Central Perk, serveur au restaurant et responsable de;Mullany;Matthew;
338;Officier d’état civil;Peter Eyre;['424', '501'];Anodin;;civil;Officier d’état;Eyre;Peter;
339;Ben et Mr Weinberg;Jackie Bright;['123', '224'];Anodin;15/11/1954;Weinberg;Ben et Mr;Bright;Jackie;
340;Isaac;Maury Ginsberg;['315', '316'];Anodin;;Isaac;Ben et Mr;Ginsberg;Maury;
341;Voisin gourmand de Monica et conquête potentielle de Rachel;Ashley L. Clark;['709', '811'];Anodin;01/12/1988;Rachel;Voisin gourmand de Monica et conquête potentielle de;Clark;Ashley L.;
342;Croupier du casino;Rick Pasqualone;['523', '601'];Anodin;;casino;Croupier du;Pasqualone;Rick;
343;Professeur Ted Friesell;Jim Bentley;['411', '619'];Anodin;14/07/1992;Friesell;Professeur Ted;Bentley;Jim;
344;Ami d’Elizabeth à l’Université;Hunter Cochran;['619', '624'];Anodin;;l’Université;Ami d’Elizabeth à;Cochran;Hunter;
345;Hôtesse d’une chapelle;Nina Mann;['524', '601'];Anodin;;chapelle;Hôtesse d’une;Mann;Nina;
346;Randall;Thomas Lennon;['523', '524'];Anodin;09/08/1970;Randall;Hôtesse d’une;Lennon;Thomas;
347;Réceptioniste de l’hôtel;non crédité;['802'];Anodin;;l’hôtel;Réceptioniste de;crédité;non;
348;Cathy;Lisa Roberts;['213'];Anodin;01/01/1965;Cathy;Réceptioniste de;Roberts;Lisa;
349;Gail;Lou Thornton;['214'];Anodin;04/11/1998;Gail;Réceptioniste de;Thornton;Lou;
350;Jonathan;Tim Bohn;['214'];Anodin;;Jonathan;Réceptioniste de;Bohn;Tim;
351;Père Karabasos;Steve Suskind;['724'];Anodin;03/10/1942;Karabasos;Père;Suskind;Steve;
352;Responsable de restaurant;Patrick Kerr;['214'];Anodin;;restaurant;Responsable de;Kerr;Patrick;
353;Gert;Rachel Snow;['801'];Anodin;;Gert;Responsable de;Snow;Rachel;
354;Carl;Louis Mandylor;['617'];Anodin;13/09/1966;Carl;Responsable de;Mandylor;Louis;
355;Dennis Phillips;Jim Piddock;['801'];Anodin;08/04/1956;Phillips;Dennis;Piddock;Jim;
356;Colocataire potentielle;Brooke Boisse;['603'];Anodin;;potentielle;Colocataire;Boisse;Brooke;
357;Ashley;Kendall Herbert;['801'];Anodin;;Ashley;Colocataire;Herbert;Kendall;
358;Amanda;Claudia Stedelin;['723'];Anodin;;Amanda;Colocataire;Stedelin;Claudia;
359;Réalisateur de films;Christopher Darga;['604'];Anodin;;films;Réalisateur de;Darga;Christopher;
360;Gentleman de l’avion;Hugh Laurie;['424'];Anodin;11/06/1959;l’avion;Gentleman de;Laurie;Hugh;
361;Margha;Susanna Voltaire;['309'];Anodin;;Margha;Gentleman de;Voltaire;Susanna;
362;Invité plus agé et ivre;Heathcote Williams;['424'];Anodin;15/11/1941;ivre;Invité plus agé et;Williams;Heathcote;
363;Julie Horger;Rachael Harris;['823'];Anodin;12/01/1968;Horger;Julie;Harris;Rachael;
364;Grand mec;Lex Medlin;['610'];Anodin;30/03/1969;mec;Grand;Medlin;Lex;
365;Lelani Mayolanofavich;Emily Osmont;['806'];Anodin;10/03/1992;Mayolanofavich;Lelani;Osmont;Emily;
366;Garde du plateau de tournage;Steven M. Porter;['213'];Anodin;;tournage;Garde du plateau de;Porter;Steven M.;
367;Employée de Virgin Atlantic;Jane Carr;['424'];Anodin;13/08/1950;Atlantic;Employée de Virgin;Carr;Jane;
368;Dr Harad;Sam Anderson;['503'];Anodin;13/05/1945;Harad;Dr;Anderson;Sam;
369;Chanteur du groupe Swing Kings;Dane Anthony;['801'];Anodin;31/07/1951;Kings;Chanteur du groupe Swing;Anthony;Dane;
370;Femme des admissions;Alaina Reed Hall;['117'];Anodin;10/11/1946;admissions;Femme des;Hall;Alaina Reed;
371;Gouvernante de la famille Waltham;June Whitfield;['424'];Anodin;11/11/1925;Waltham;Gouvernante de la famille;Whitfield;June;
372;Melinda;Steffani Brass;['801'];Anodin;16/02/1992;Melinda;Gouvernante de la famille;Brass;Steffani;
373;Organisatrice de mariages;Merrin Dungey;['622'];Anodin;06/08/1971;mariages;Organisatrice de;Dungey;Merrin;
374;Mr Rastatter;Michael McKean;['208'];Anodin;17/10/1947;Rastatter;Mr;McKean;Michael;
375;Lydia;Leah Remini;['123'];Anodin;15/06/1970;Lydia;Mr;Remini;Leah;
376;Serveur au restaurant;Daniel Caltagirone;['424'];Anodin;18/06/1972;restaurant;Serveur au;Caltagirone;Daniel;
377;Future maman, insulte son mari;Debi Mazar;['823'];Anodin;13/08/1964;mari;Future maman, insulte son;Mazar;Debi;
378;Infirmière du cabinet Burke;Marcy Goldman;['408'];Anodin;27/06/1980;Burke;Infirmière du cabinet;Goldman;Marcy;
379;Marc Horger;Tim Dekay;['823'];Anodin;12/06/1963;Horger;Marc;Dekay;Tim;
380;Fan;Larry Joe Campbell;['614'];Anodin;29/11/1970;Fan;Marc;Campbell;Larry Joe;
381;Dresseur de Marcel;Seth Isler;['213'];Anodin;25/01/1971;Marcel;Dresseur de;Isler;Seth;
382;Roy;Carlo Imperato;['123'];Anodin;03/08/1963;Roy;Dresseur de;Imperato;Carlo;
383;Réceptionniste à l’hôpital;Jill Matson;['617'];Anodin;;l’hôpital;Réceptionniste à;Matson;Jill;
384;Stanley;John Kassir;['522'];Anodin;24/10/1957;Stanley;Réceptionniste à;Kassir;John;
385;Danseuse très souple;Sybil Azur;['610'];Anodin;;souple;Danseuse très;Azur;Sybil;
386;Voisine du dessus de Monica;Amy Hill;['709'];Anodin;09/05/1953;Monica;Voisine du dessus de;Hill;Amy;
387;Directrice de casting pour un film;Mo Gaffney;['719'];Anodin;;film;Directrice de casting pour un;Gaffney;Mo;
388;Directeur de casting pour un film;Daniel Hagan;['513'];Anodin;;film;Directeur de casting pour un;Hagan;Daniel;
389;Mr Bergen;John Bennett Perry;['418'];Anodin;03/01/1942;Bergen;Mr;Perry;John Bennett;
390;Sid Littman;Maurice Godin;['823'];Anodin;;Littman;Sid;Godin;Maurice;
391;Danseuse expérimentée sur une plate-forme;Sandra Plazinic;['610'];Anodin;;plate-forme;Danseuse expérimentée sur une;Plazinic;Sandra;
392;Femme du propriétaire du pressing;Susie Park;['622'];Anodin;;pressing;Femme du propriétaire du;Park;Susie;
393;Guru Saj;Kevin McDonald;['323'];Anodin;16/05/1961;Saj;Guru;McDonald;Kevin;
394;Sarah;Audrey Wasilewski;['923'];Anodin;25/06/1967;Sarah;Guru;Wasilewski;Audrey;
395;Ballerine;Rachel David;['806'];Anodin;;Ballerine;Guru;David;Rachel;
396;Gary;Jonathan Floyd;['709'];Anodin;;Gary;Guru;Floyd;Jonathan;
397;Cow-girl;Ivy Malone;['806'];Anodin;;Cow-girl;Guru;Malone;Ivy;
398;Photographe du mariage;Allen Lulu;['801'];Anodin;;mariage;Photographe du;Lulu;Allen;
399;Employée de la clinique du sommeil;Thea Mann;['420'];Anodin;;sommeil;Employée de la clinique du;Mann;Thea;
400;Teinturier, propriétaire du pressing;Ilia Volok;['622'];Anodin;01/11/1965;pressing;Teinturier, propriétaire du;Volok;Ilia;
401;Petit garçon malin;Daniel Smith;['806'];Anodin;;malin;Petit garçon;Smith;Daniel;
402;Robin;Catherine Bell;['206'];Anodin;14/08/1968;Robin;Petit garçon;Bell;Catherine;
403;Docteur à l’hôpital;Ron Recasner;['617'];Anodin;;l’hôpital;Docteur à;Recasner;Ron;
404;Mr Lipson;Fred Willard;['212'];Anodin;18/09/1933;Lipson;Mr;Willard;Fred;
405;Frankie;Buck Kartalian;['201'];Anodin;13/08/1922;Frankie;Mr;Kartalian;Buck;
406;Kory Weston;Ivana Milicevic;['917'];Anodin;26/04/1974;Weston;Kory;Milicevic;Ivana;
407;Conducteur de la voiture;non crédité;['802'];Anodin;;voiture;Conducteur de la;crédité;non;
408;Réalisateur du film de Martin Scorsese;Scott Adsit;['719'];Anodin;26/11/1965;Scorsese;Réalisateur du film de Martin;Adsit;Scott;
409;Photographe;Roger Eschbaker;['705'];Anodin;;Photographe;Réalisateur du film de Martin;Eschbaker;Roger;
410;Dr Oberman;T. J. Thyne;['503'];Anodin;07/03/1975;Oberman;Dr;Thyne;T. J.;
411;Spectateur d’une pièce de théâtre;non crédité;['322'];Anodin;;théâtre;Spectateur d’une pièce de;crédité;non;
412;Bijoutier;Olivier Muirhead;['623'];Anodin;29/05/1957;Bijoutier;Spectateur d’une pièce de;Muirhead;Olivier;
413;Max;Wayne Pere;['110'];Anodin;23/03/1965;Max;Spectateur d’une pièce de;Pere;Wayne;
414;Professeur de self-défense;Mongo Brownle;['617'];Anodin;;self-défense;Professeur de;Brownle;Mongo;
415;Technicien de plateau de cinéma;Matt Bellner;['604'];Anodin;;cinéma;Technicien de plateau de;Bellner;Matt;
416;Infirmière de l’hôpital;Sarah Rush;['823'];Anodin;20/09/1955;l’hôpital;Infirmière de;Rush;Sarah;
417;Étudiant à l’université;Michael Naughton;['604'];Anodin;;l’université;Étudiant à;Naughton;Michael;
418;Dr Miller;Michael Monks;['522'];Anodin;;Miller;Dr;Monks;Michael;
419;Acteur dans la publicité Monkeyshine;Sean Masterson;['212'];Anodin;;Monkeyshine;Acteur dans la publicité;Masterson;Sean;
420;Spectatrice d’une pièce de théâtre;non créditée;['322'];Anodin;;théâtre;Spectatrice d’une pièce de;créditée;non;
421;Becky;Jennifer Sommerfield;['206'];Anodin;;Becky;Spectatrice d’une pièce de;Sommerfield;Jennifer;
422;Comédienne de théâtre;Alex Borstein;['920'];Anodin;15/02/1971;théâtre;Comédienne de;Borstein;Alex;
423;Futur papa, insulte sa femme;Jimmy Palumbo;['823'];Anodin;;femme;Futur papa, insulte sa;Palumbo;Jimmy;
424;Médecin hospitalier;Victor Raider-Wexler;['206'];Anodin;31/12/1943;hospitalier;Médecin;Raider-Wexler;Victor;
425;Hilda;Jean St James;['704'];Anodin;;Hilda;Médecin;James;Jean St;
426;Directeur de Casting;Jason Graae;['219'];Anodin;;Casting;Directeur de;Graae;Jason;
427;Vendeuse de robes de mariées;Anne Betancourt;['420'];Anodin;;mariées;Vendeuse de robes de;Betancourt;Anne;
428;Petit garçon fan de Phoebe;Tahl Mowry;['212'];Anodin;17/05/1986;Phoebe;Petit garçon fan de;Mowry;Tahl;
429;Bobby Corso;Marc Rose;['810'];Anodin;;Corso;Bobby;Rose;Marc;
430;Agent immobilier;Robin Krieger;['907'];Anodin;;immobilier;Agent;Krieger;Robin;
431;Lesbienne qui drague Phoebe;Lea DeLaria;['211'];Anodin;23/05/1958;Phoebe;Lesbienne qui drague;DeLaria;Lea;
432;Réceptionniste de l’hôpital;Henriette Mantel;['823'];Anodin;;l’hôpital;Réceptionniste de;Mantel;Henriette;
433;Coursier qui apporte le script à Joey;Brian Posehn;['218'];Anodin;06/07/1966;Joey;Coursier qui apporte le script à;Posehn;Brian;
434;Contrôleur de train;Vic Helford;['410'];Anodin;10/06/1935;train;Contrôleur de;Helford;Vic;
435;Bijoutière;Janet S. Blake;['623'];Anodin;;Bijoutière;Contrôleur de;Blake;Janet S.;
436;Femme dans le train;Shannon Maureen Brown;['410'];Anodin;;train;Femme dans le;Brown;Shannon Maureen;
437;Directeur de comédie musicale;Obba Babatunde;['312'];Anodin;01/12/1951;musicale;Directeur de comédie;Babatunde;Obba;
438;Mariée que Chandler embrasse;non créditée;['802'];Anodin;;embrasse;Mariée que Chandler;créditée;non;
439;Amber;Vanessa Sandin;['218'];Anodin;;Amber;Mariée que Chandler;Sandin;Vanessa;
440;Dan;Patrick Fabian;['503'];Anodin;07/12/1964;Dan;Mariée que Chandler;Fabian;Patrick;
441;Réceptionniste de l’hôpital;Jo Nell Kennedy;['823'];Anodin;;l’hôpital;Réceptionniste de;Kennedy;Jo Nell;
442;La femme avec de faibles contractions;Karin Co;['823'];Anodin;;contractions;La femme avec de faibles;Co;Karin;
443;Megan Bailey;Andrea Bendewald;['717'];Anodin;;Bailey;Megan;Bendewald;Andrea;
444;Dr Zane;Cindy Katz;['412'];Anodin;;Zane;Dr;Katz;Cindy;
445;Femme dans le clip de Phoebe;Linda Lutz;['217'];Anodin;;Phoebe;Femme dans le clip de;Lutz;Linda;
446;Productrice du clip vidéo de Phoebe;Dee Dee Rescher;['217'];Anodin;28/08/1953;Phoebe;Productrice du clip vidéo de;Rescher;Dee Dee;
447;Alan Lewis;Kyle Howard;['718'];Anodin;13/04/1978;Lewis;Alan;Howard;Kyle;
448;Professeur Jarvis Oberblau;John Balma;['924'];Anodin;;Oberblau;Professeur Jarvis;Balma;John;
449;Figurante dans Days of our lives;Heather Sims;['911'];Anodin;25/02/1970;lives;Figurante dans Days of our;Sims;Heather;
450;Serveur au restaurant;Elliot Woods;['212'];Anodin;28/01/1981;restaurant;Serveur au;Woods;Elliot;
451;Eric;John Lehr;['306'];Anodin;;Eric;Serveur au;Lehr;John;
452;Homme de Pie in the hood;Barry Heins;['217'];Anodin;;hood;Homme de Pie in the;Heins;Barry;
453;Garde du plateau de tournage;Lawrence A. Mandley;['212'];Anodin;;tournage;Garde du plateau de;Mandley;Lawrence A.;
454;Sonya;Lori Alan;['913'];Anodin;18/07/1966;Sonya;Garde du plateau de;Alan;Lori;
455;Client qui désire épouser sa petite amie;Brian Dunkleman;['623'];Anodin;;amie;Client qui désire épouser sa petite;Dunkleman;Brian;
456;Productrice de la pièce de Leonard Haze;Suzanne Ford;['915'];Anodin;;Haze;Productrice de la pièce de Leonard;Ford;Suzanne;
457;Caitlin;Kristin Dutillo;['519'];Anodin;30/11/1970;Caitlin;Productrice de la pièce de Leonard;Dutillo;Kristin;
458;Caméraman sur le tournage de À toute allure;John C. Mc Donnel;['522'];Anodin;27/10/1961;allure;Caméraman sur le tournage de À toute;Donnel;John C. Mc;
459;Gary, roi du matelas;Mark Cohen;['307'];Anodin;26/10/1971;matelas;Gary, roi du;Cohen;Mark;
460;Médecin de Joey;Iqbal Theba;['503'];Anodin;20/12/1963;Joey;Médecin de;Theba;Iqbal;
461;Cliente du Central Perk;Megan Linder;['913'];Anodin;;Perk;Cliente du Central;Linder;Megan;
462;Responsable du plateau de télévision;Patrick Bristow;['610'];Anodin;26/09/1962;télévision;Responsable du plateau de;Bristow;Patrick;
463;Rendez-vous galant de Richard;Gina Hecht;['313'];Anodin;06/12/1953;Richard;Rendez-vous galant de;Hecht;Gina;
464;Jim;Hugh Dane;['206'];Anodin;21/10/1942;Jim;Rendez-vous galant de;Dane;Hugh;
465;Cliente du Central Perk avec une amie;DeAnna Steele;['913'];Anodin;14/10/2001;amie;Cliente du Central Perk avec une;Steele;DeAnna;
466;Tilly;Mary Gallagher;['218'];Anodin;;Tilly;Cliente du Central Perk avec une;Gallagher;Mary;
467;Directrice de casting;Anne Johnson;['915'];Anodin;18/07/1960;casting;Directrice de;Johnson;Anne;
468;Infirmière en salle d’accouchement;Heidi Beck;['503'];Anodin;08/10/1998;d’accouchement;Infirmière en salle;Beck;Heidi;
469;Mère de Pete;Carole Goldman;['323'];Anodin;29/12/1975;Pete;Mère de;Goldman;Carole;
470;Chanteur matinal;Michael Connor;['419'];Anodin;15/08/1925;matinal;Chanteur;Connor;Michael;
471;Emily;Audrie Neenan;['216'];Anodin;;Emily;Chanteur;Neenan;Audrie;
472;Precious;Anne Dudek;['1001'];Anodin;22/03/1975;Precious;Chanteur;Dudek;Anne;
473;Ned Morse;Vince Vieluf;['718'];Anodin;10/11/1970;Morse;Ned;Vieluf;Vince;
474;Dr Rhodes;Richard Gant;['323'];Anodin;10/03/1944;Rhodes;Dr;Gant;Richard;
475;Serveur dans un grand restaurant;Scott Stewart;['210'];Anodin;;restaurant;Serveur dans un grand;Stewart;Scott;
476;Réceptionniste dans un institut de beauté;Kristen Ariza;['913'];Anodin;;beauté;Réceptionniste dans un institut de;Ariza;Kristen;
477;Une passante dans la rue;Charity Nicole James;['605'];Anodin;;rue;Une passante dans la;James;Charity Nicole;
478;Jenny Boon;Tammy Townsend;['810'];Anodin;17/08/1970;Boon;Jenny;Townsend;Tammy;
479;Scénariste de Days of Our Lives;Jim Reilly;['218'];Anodin;15/07/1948;Lives;Scénariste de Days of Our;Reilly;Jim;
480;Propriétaire de la Porsche;Kevin Ruf;['605'];Anodin;07/12/1961;Porsche;Propriétaire de la;Ruf;Kevin;
