personnage;acteur;episode;group;birthday
Megan Bailey;Andrea Bendewald;['717'];Anodin;
Femme dans le clip de Phoebe;Linda Lutz;['217'];Anodin;
Dr Zane;Cindy Katz;['412'];Anodin;
Productrice du clip vidéo de Phoebe;Dee Dee Rescher;['217'];Anodin;
Alan Lewis;Kyle Howard;['718'];Anodin;
Figurante dans Days of our lives;Heather Sims;['911'];Anodin;
Professeur Jarvis Oberblau;John Balma;['924'];Anodin;
Serveur au restaurant;Elliot Woods;['212'];Anodin;
Eric;John Lehr;['306'];Anodin;
Sonya;Lori Alan;['913'];Anodin;
Homme de Pie in the hood;Barry Heins;['217'];Anodin;
Garde du plateau de tournage;Lawrence A. Mandley;['212'];Anodin;
Client qui désire épouser sa petite amie;Brian Dunkleman;['623'];Anodin;
Productrice de la pièce de Leonard Haze;Suzanne Ford;['915'];Anodin;
Caméraman sur le tournage de À toute allure;John C. Mc Donnel;['522'];Anodin;
Caitlin;Kristin Dutillo;['519'];Anodin;
Gary, roi du matelas;Mark Cohen;['307'];Anodin;
Médecin de Joey;Iqbal Theba;['503'];Anodin;
Cliente du Central Perk;Megan Linder;['913'];Anodin;
Responsable du plateau de télévision;Patrick Bristow;['610'];Anodin;
Rendez-vous galant de Richard;Gina Hecht;['313'];Anodin;
Jim;Hugh Dane;['206'];Anodin;
Cliente du Central Perk avec une amie;DeAnna Steele;['913'];Anodin;
Tilly;Mary Gallagher;['218'];Anodin;
Directrice de casting;Anne Johnson;['915'];Anodin;
Infirmière en salle d’accouchement;Heidi Beck;['503'];Anodin;
Mère de Pete;Carole Goldman;['323'];Anodin;
Chanteur matinal;Michael Connor;['419'];Anodin;
Emily;Audrie Neenan;['216'];Anodin;
Ned Morse;Vince Vieluf;['718'];Anodin;
Precious;Anne Dudek;['1001'];Anodin;
Dr Rhodes;Richard Gant;['323'];Anodin;
Serveur dans un grand restaurant;Scott Stewart;['210'];Anodin;
Réceptionniste dans un institut de beauté;Kristen Ariza;['913'];Anodin;
Une passante dans la rue;Charity Nicole James;['605'];Anodin;
Jenny Boon;Tammy Townsend;['810'];Anodin;
Scénariste de Days of Our Lives;Jim Reilly;['218'];Anodin;
Propriétaire de la Porsche;Kevin Ruf;['605'];Anodin;
Meg;Janelle Paradee;['602'];Anodin;
Juge qui pourrait annuler le mariage;Conchata Ferrel;['605'];Anodin;
Médecin de l’hôpital;Michael Winters;['508'];Anodin;
Karin;Tembi Locke;['602'];Anodin;
Arik;Stephen Samuels;['216'];Anodin;
Gynécologue d’Erica;John Rubinstein;['1017'];Anodin;
Domestique de la famille Bing;Alec Mapa;['508'];Anodin;
Un passant dans la rue;Shane Nickerson;['605'];Anodin;
Tatoueuse;Josie DiVincenzo;['216'];Anodin;
Serveuse au Central Perk;Christy L. Medrano;['306'];Anodin;
Tia;Elisabeth Sjoli;['119'];Anodin;
Joel;Peter Spears;['224'];Anodin;
Agent immobilier de Chandler et Monica;Helen Eigenberg;['1014'];Anodin;
Infirmière à l’hôpital;Carole Gutierrez;['1017'];Anodin;
Luisa Gianetti;Megan Cavanagh;['119'];Anodin;
L’homme dans la voiture de sport;Wayne Sherwood;['714'];Anodin;
Vendeur de déguisements;Sean Corvelle;['710'];Anodin;
Un passant futé dans la rue;non crédité;['605'];Anodin;
Infirmière à l’accueil de l’hôpital;Brenda Isaacs-Booth;['503'];Anodin;
Andrea;Carolyn Lowery;['108'];Anodin;
Vétérinaire qui soigne le canard;Robert Koch;['422'];Anodin;
Un passant curieux dans la rue;Dennis Singletary;['605'];Anodin;
Amy;Susan Yeagley;['613'];Anodin;
Maître d’hôtel du restaurant Michelle’s;Terry Rhoads;['710'];Anodin;
Vendeuse dans un magasin de canapés;Aloma Wright;['516'];Anodin;
Une passante dans la rue;Antoinette Spolar;['521'];Anodin;
Femme en lune de miel;Laurie Naughton;['803'];Anodin;
Client du Central Perk;Lex Arquette;['613'];Anodin;
Tom Gordon;Ernie Grunwald;['917'];Anodin;
Professeur de cuisine pour débutants;Molly Hagan;['821'];Anodin;
Jen;Samantha Smith;['517'];Anodin;
Mme Burkart;Gretchen Wyler;['406'];Anodin;
Grand-mère assise sur un banc;Janice Davies;['204'];Anodin;
Acheteur de sapins de Noël;Gene Craine;['310'];Anodin;
Kara;Lise Simms;['512'];Anodin;
Une acheteuse potentielle;Victoria L.Kelleher;['521'];Anodin;
Sebastian;Scott Paetty;['619'];Anodin;
L’horrible femme;Camille Saviola;['105'];Anodin;
Collègue du serveur gay au restaurant;Terence Winter;['816'];Anodin;
Buddy Boyle;Danny Dayton;['203'];Anodin;
Livreur de lit;Rosey Brown;['307'];Anodin;
Ginger;Robyn Pedretti;['510'];Anodin;
Petite fille, voisine de Ross;Devyn La Bella;['517'];Anodin;
Agent de voyage;Manao DeMuth;['1018'];Anodin;
Le Pasteur;Candice Gingrich;['211'];Anodin;
Professeur de littérature pour adultes;Scott Mosenson;['509'];Anodin;
Elève du cours de comédie de Joey;Shashi Bhatia;['307'];Anodin;
Rita;Mary Margaret Lewis;['1014'];Anodin;
Fille d’un client de Phoebe;Suzanna Lanza;['702'];Anodin;
Cal;Khalil Kain;['307'];Anodin;
Client du restaurant Michelle’s;Barry Wiggins;['710'];Anodin;
Brenda;Arden Myrin;['807'];Anodin;
Docteur Oberman;Joan Pringle;['102'];Anodin;
Planificatrice du mariage;Mindy Sterling;['224'];Anodin;
Elève de Ross;Matthew Yang King;['812'];Anodin;
Vieil homme, voisin de Ross;Ralph Manza;['517'];Anodin;
Serveuse dans le cabaret d’Helena;Alexis Arquette;['722'];Anodin;
Cliente du Central Perk;Jo Jean Pagano;['112'];Anodin;
Un passant pauvre qui prend le bus;Lee Arenberg;['510'];Anodin;
L’étudiante du rayon paléontologie;Jessica A. O’Sullivan;['707'];Anodin;
Client du Central Perk;J. D. Lewis;['612'];Anodin;
Baby-sitter potentielle d’Emma;Susan slome;['906'];Anodin;
Livreur de pizza;Sean Whalen;['104'];Anodin;
Maître d’hôtel dans un restaurant;Kevin Farrell;['905'];Anodin;
Maître d’hôtel;Tom Dugan;['1014'];Anodin;
Sarah Tuttle;Mae Whitman;['310'];Anodin;
Prostituée engagée par Monica;Jackie Debatin;['808'];Anodin;
Étudiante qui suit les cours de littérature;Alexia Roberts;['509'];Anodin;
Assistant de casting;Alex Craig Mann;['1013'];Anodin;
Médecin à l’hôpital;Mark Daniel Cade;['823'];Anodin;
Responsable des changements de noms;Graig Robinson;['1014'];Anodin;
Agent d’embarquement à l’aéroport;Anthony Cistaro;['1018'];Anodin;
Serveur du restaurant où Rachel et Michael dînent;Marcus D. Jacques;['207'];Anodin;
Serveuse dans un restaurant;Caryn Ward;['812'];Anodin;
Assistant bibliothèquaire;Doug Budin;['707'];Anodin;
Tony;Mathew Kaminsky;['402'];Anodin;
Cliente du Central Perk;Stephanie Dicker;['722'];Anodin;
L’étudiant du rayon paléontologie;Nicholas Thomas;['707'];Anodin;
Professeur Klarik;Robert Alan Bluth;['924'];Anodin;
Carl;Peter de Louise;['221'];Anodin;
Pompier Ed;Joel Gretsch;['114'];Anodin;
Passante fumeuse;Nicole Robinson;['516'];Anodin;
Employée de la compagnie aérienne;Kerrie Klark;['124'];Anodin;
Mrs Nancy Oberblau;Alison Shanks;['924'];Anodin;
Homme dans le coma;David Sederholm;['111'];Anodin;
Invité à la fête de Monica;Lewis Dix;['222'];Anodin;
Client du restaurant au téléphone;Barry Diamond;['207'];Anodin;
Employée du casino;Gabi Simson;['524'];Anodin;
Stephanie;Alex Kapp Horner;['602'];Anodin;
Ellen;Jane Lynch;['1015'];Anodin;
Femme à la table;Joanna Sayler;['612'];Anodin;
Infirmière Kitty;Cleo King;['901'];Anodin;
Invitée à la fête de Monica;Nancy Rubin;['222'];Anodin;
Marge;Wendee Cole;['713'];Anodin;
Pompier Charlie;Jay Acovone;['114'];Anodin;
Pompier Dave;Larry Pindexter;['114'];Anodin;
Arbitre de combat ultime;John McCarthy;['324'];Anodin;
Infirmière qui s’occupe de Nana;Marylin Tokuda;['108'];Anodin;
Serveur dans un restaurant;Dan Bucatinsky;['905'];Anodin;
Jester;Simon Harvey;['307'];Anodin;
Sarah;Tori McPetrie;['624'];Anodin;
Mr Adelman;Phil Leeds;['211'];Anodin;
Gynécologue de Phoebe;Shirley Jordan;['417'];Anodin;
Vendeur dans un magasin de canapés;Mark Fite;['516'];Anodin;
Arthur;Nicky Katt;['221'];Anodin;
JC Rosten;Patty Tiffany;['116'];Anodin;
Charla Nichols;Kyla Pratta;['310'];Anodin;
Voleur;Marc Unger;['402'];Anodin;
Infirmière à l’hôpital;Hira Ambrosino;['1013'];Anodin;
Lisa;Jacqueline Schultz;['624'];Anodin;
Tank Abbott;Tank Abbott;['324'];Anodin;
Le garçon dans la bibliothèque;Andy Breuster;['707'];Anodin;
Manny;Jonathan Slavin;['917'];Anodin;
Responsable de la bibliothèque universitaire;Michael D. Roberts;['707'];Anodin;
Professeur de Lamaze;Michele Lamar Richards;['116'];Anodin;
Employée d’accueil de l’hôtel;Anita Dashiell;['803'];Anodin;
Krista;Julie Lauren;['510'];Anodin;
Voisin de Ross à la recherche de Joey;Marc Goldsmith;['517'];Anodin;
Bénévole du Téléthon sur PBS;John R. McLaughlin;['504'];Anodin;
Gamin surdoué;Miles Marisco;['411'];Anodin;
Responsable de l’hôpital;Ethel Ayler;['319'];Anodin;
Mrs Verhoeven;Dale Raoul;['807'];Anodin;
Officier Petty;Chuck Martinez;['722'];Anodin;
Bratty Boy;Benjamain Caya;['104'];Anodin;
Assistant réalisateur dans un film où joue Joey;Carlos LaCamera;['414'];Anodin;
Hoshi;James Hong;['324'];Anodin;
Passagère dans l’avion;Michelle Pereira;['1018'];Anodin;
Karen Lambert;Hope Allen;['404'];Anodin;
Employé de la compagnie aérienne;John O Brien;['803'];Anodin;
Hôtesse de l’air sur le vol pour Paris;non créditée;['1018'];Anodin;
Passager nerveux dans l’avion;Jim Rash;['1018'];Anodin;
Ronni;Lee Carlington;['113'];Anodin;
Réalisateur de films;Tim Edward Rhoze;['1013'];Anodin;
Raymond;Matt Weinberg;['518'];Anodin;
Client critique du restaurant Javu;Johnny Sneed;['919'];Anodin;
Peter;Ken Weiler;['402'];Anodin;
Owen;Daryl Sabara;['1002'];Anodin;
Présentatrice de la cérémonie des Soapies;Mc Kenzie Westmore;['718'];Anodin;
Gardien au service comptabilité;Christopher Caroll;['404'];Anodin;
Catherine;Kat Sawyer;['818'];Anodin;
Barman;Kevin Brief;['909'];Anodin;
Petit ami de Mona;Mark Lutz;['817'];Anodin;
L’homme;Tim Silva;['818'];Anodin;
Chef de meute des Jeannettes;Romy Rosemont;['310'];Anodin;
Employée de l’aéroport;Lynn A Henderson;['803'];Anodin;
Commentateur du combat ultime;Bruce Buffer;['324'];Anodin;
Officier Handson;Mark Consuelos;['722'];Anodin;
Samantha;Angela Wiser;['119'];Anodin;
Homme en lune de miel;Shane Nickerson;['803'];Anodin;
Sally;Elaine Hendrix;['903'];Anodin;
Dr Gettlman;Gregory White;['903'];Anodin;
Pompier #1;Greg Wrangler;['618'];Anodin;
Tabitha;Carly Thomas;['912'];Anodin;
Rick;Bill Stevenson;['601'];Anodin;
Maria;Amber Smith;['404'];Anodin;
Employé de la salle de sport;Brain Perry;['404'];Anodin;
Premier mec du dortoir;Amil Raman;['624'];Anodin;
Représentant de la compagnie aérienne;Brian Palermo;['1018'];Anodin;
Homme dans le taxi;Jason Kravits;['1018'];Anodin;
Pompier chez Phoebe;Jason Winston George;['712'];Anodin;
Passager dans l’avion;Todd Glass;['523'];Anodin;
Réceptionniste au cabinet du Dr Gettlman;Greta Seshita;['903'];Anodin;
Gene Lester;Gregory Jbara;['1011'];Anodin;
Hôtesse compagnie aérienne;Robin McDonald;['415'];Anodin;
Kyle;Jim Wise;['518'];Anodin;
Directrice de casting pour une publicité;Judy Kain;['518'];Anodin;
Joueur saoul au casino;Frank Novak;['524'];Anodin;
Sherman Whitfield;Peter Dennis;['302'];Anodin;
Pompier #2;David Warshofsky;['618'];Anodin;
Devon;Adamo Palladino;['415'];Anodin;
Homme à la cigarette;Rocky McMurray;['414'];Anodin;
Agent de sécurité au Caesar’s Palace;Rojai Holloway;['524'];Anodin;
Sizemore;Mary Pat Gleason;['104'];Anodin;
Kevin;Alan F. Smith;['909'];Anodin;
Homme;Richard Lyons;['202'];Anodin;
Tom;Doug Benson;['507'];Anodin;
Professeur de claquettes;Karla Tamburrelli;['121'];Anodin;
Serveur dans un restaurant;John Eric Bentley;['914'];Anodin;
Vieille femme;Jeannette Miller;['524'];Anodin;
Liam;Mark Thomas;['415'];Anodin;
Responsable du plateau de télévision;Sandra Thigpen;['504'];Anodin;
Zoe;Natasha Pearce;['624'];Anodin;
Dr Schiff;Shawn Christian;['811'];Anodin;
Premier client du matin du grand magasin;Lou Willis;['202'];Anodin;
Responsable;Stan Sellers;['202'];Anodin;
Docteur des urgences;Richard Penn;['814'];Anodin;
Mr Tyler;Tucker Smallwood;['821'];Anodin;
Réceptionniste de l’hôtel dans le Vermont;non créditée;['919'];Anodin;
Dr Connelly;Andy Umberger;['922'];Anodin;
La femme;Aixa Clemente;['818'];Anodin;
Touriste cliente du Caesar’s Palace;Baillie Gernstein;['523'];Anodin;
Serrurier appelé par Ross;Wesley Thompson;['811'];Anodin;
Bill;Chris Payne Gilbert;['909'];Anodin;
Invitée du mariage;Lela Lee;['711'];Anodin;
Maître d’hôtel d’un grand restaurant;Tony Nichols;['624'];Anodin;
Serveur au restaurant Iridium;Mailon Riviera;['711'];Anodin;
Serveur au PhilloSophie;Spencer Cherashore;['205'];Anodin;
Mr Bowmont;John Apicella;['624'];Anodin;
Patrick;Chris Kennedy;['619'];Anodin;
Seconde invitée du mariage;Gina Belafonte;['711'];Anodin;
Cliente d’une boutique de prêt à porter;Tracy Silver;['922'];Anodin;
Henrietta;Cyndi Martino;['1011'];Anodin;
Fillette dans le cabinet du docteur;Ashley Holloway;['903'];Anodin;
Assistante du Dr Gettlman;Angee Hughes;['903'];Anodin;
Masseuse de Monica;non créditée;['814'];Anodin;
Hôtesse dans l’avion;Lisa Jamie Cash;['523'];Anodin;
Critique culinaire du Post;Tim Maculan;['821'];Anodin;
Serveur dans un restaurant chic;Martin Yu;['808'];Anodin;
Client du restaurant Javu;Keith Pillow;['919'];Anodin;
Infirmière du service des tests de fertilité;Myra Turbey;['921'];Anodin;
Concierge de l’hôtel;Christopher Liam Moore;['505'];Anodin;
Directeur du Caesar’s Palace;James Paradise;['523'];Anodin;
Patronne du salon de massage;Cherryl Francis Harrington;['404'];Anodin;
Invité à la fête pour Howard;Stephon Fuller;['515'];Anodin;
Client du restaurant Javu;Shayne Anderson;['919'];Anodin;
Steve;Willie Garson;['515'];Anodin;
Professeur d’art dramatique;Scott Richards;['821'];Anodin;
Steven Fischer;Chris Young;['205'];Anodin;
Réceptionniste de l’association de soutien aux enfants;Matt Winston;['1007'];Anodin;
Invitée à la fête pour Howard;Linde Gibb;['515'];Anodin;
Petit garçon dans le cabinet du docteur;Logan Hudson;['903'];Anodin;
Installateur de protections enfant d’appartement;Timothy Starks;['916'];Anodin;
Employé de l’agence d’adoption;Jim O’Heir;['1009'];Anodin;
Serveur au restaurant;Jorge Luis Abreu;['1009'];Anodin;
Ray;Jonathan Nichols;['820'];Anodin;
Serveuse au Central Perk;Michelle Haurg;['722'];Anodin;
Livreur de Pizza;Ryan Carlberg;['1011'];Anodin;
Glenda;Iris Bahr;['1003'];Anodin;
Invité à la fête pour Howard;David Dalton;['515'];Anodin;
Homme du salon de bronzage;Luis Antonio Ramos;['1003'];Anodin;
La femme qui accouche;Laura Margolis;['823'];Anodin;
Autre passager dans l’avion;Vincent Boyle;['1018'];Anodin;
