Personnage;Relation;Personnage lié;Acteur lié;Episodes
Chandler;Petit%20Ami;Kathy;Paget Brewster;['405', '406', '407', '408', '411', '413', '213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Susie Moss;Julia Roberts;['213', '106', '1011', '314', '116', '420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Aurora;Sofia Milos;['106', '1011', '314', '116', '420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Missy Goldberg;Ellen Pompeo;['1011', '314', '116', '420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Ginger;Sherilyn Fenn;['314', '116', '420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Nina Bookbinder;Jennifer Grant;['116', '420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Marjorie;Christina Moore;['420', '706', '120', '205', '618']
Chandler;Petit%20Ami;Julie Graff;Stacy Galina;['706', '120', '205', '618']
Chandler;Petit%20Ami;Danielle;Lynn Clark;['120', '205', '618']
Chandler;Petit%20Ami;Jade;Britteny Powell;['205', '618']
Chandler;Petit%20Ami;Dana;Bess Meyer;['618']
Chandler;Famille;Nora Tyler Bing;Morgan Fairchild;['111', '508', '723', '724', '801', '722', '723', '724', '1017', '1018', '1017', '1018', '508']
Chandler;Famille;Charles « Helena » Bing;Kathleen Turner;['722', '723', '724', '1017', '1018', '1017', '1018', '508']
Chandler;Famille;Erica Jr Bing;non créditée;['1017', '1018', '1017', '1018', '508']
Chandler;Famille;Jack Jr Bing;non crédité;['1017', '1018', '508']
Chandler;Famille;Chandler enfant;Joshua Preston;['508']
Chandler;Ami;Eddie Minowick;Adam Goldberg;['217', '218', '219']
Chandler;Voisin;Pas de réponses pour cette recherche.;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Chandler;Voisin;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";©Fan Club Français de Friends&Friends Generation 2;[]
Chandler;Collègue;Steve;Phill  Lewis;['911', '915', '918', '116', '223', '115', '224', '905', '910', '905', '910', '410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Mr Douglas;Dorien Wilson;['116', '223', '115', '224', '905', '910', '905', '910', '410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Mlle Tedlock;Fritzi Burr;['115', '224', '905', '910', '905', '910', '410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Ken;Brian Chenoweth;['905', '910', '905', '910', '410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Claudia;Monique Edwards;['905', '910', '410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Drew;Michael DiMaggio;['410', '410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Mike;Jamie Kaler;['410', '915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Jordan;Teck Holmes;['915', '910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Wendy;Selma Blair;['910', '805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Mr Franklin;Geoff Pierson;['805', '805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Bob;Chris Parnell;['805', '108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Shelley;Nancy Cassaro;['108', '223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Scott Alexander;Steve Park;['223', '108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Lowell;Stuart Fratkin;['108', '909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Assistante un peu dingue de Chandler à Tulsa;Irene White;['909', '902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Mrs McKenna;Janet Horbert;['902', '619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Eldad;Josh Cox;['619', '922', '324', '324', '922', '122', '122']
Chandler;Collègue;Zack;John Stamos;['922', '324', '324', '922', '122', '122']
Chandler;Collègue;Phil;Steve Dark;['324', '324', '922', '122', '122']
Chandler;Collègue;Stevens;Joe O’Connor;['324', '922', '122', '122']
Chandler;Collègue;Jeanette;Cynthia Newman;['922', '122', '122']
Chandler;Collègue;Gerson;Brian Buckner;['122', '122']
Chandler;Collègue;Petrie;Darryl Sivad;['122']
Phoebe;Petit%20Ami;Mike Hanigan;Paul Rudd;['903', '904', '906', '907', '909', '912', '913', '916', '917', '923', '924', '1001', '1005', '1007', '1012', '1014', '1017', '110', '711', '906', '922', '923', '516', '517', '520', '521', '806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;David;Hank Azaria;['110', '711', '906', '922', '923', '516', '517', '520', '521', '806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Gary;Michael Rapaport;['516', '517', '520', '521', '806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Eric;Sean Penn;['806', '807', '823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Clifford Burnett;Eddie McClintock;['823', '824', '817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Parker;Alec Baldwin;['817', '818', '718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Jake;Troy Norton;['718', '722', '212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Rob Donan;Chris Isaak;['212', '204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Duncan;Steve Zahn;['204', '705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Kyle;David Sutcliffe;['705', '303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Malcolm;David Arquette;['303', '315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Sergeï;Jim Pirri;['315', '816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Don;Harry Van Gorkum;['816', '313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Robert;Markus Flanagan;['313', '323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Jason;Robert Gant;['323', '323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Vince;Matt Battaglia;['323', '817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Jim Nelson;James Le Gros;['817', '113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Roger;Fisher Stevens;['113', '223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Ryan;Charlie Sheen;['223', '805', '507', '715', '404']
Phoebe;Petit%20Ami;Tim;Kevin Rahm;['805', '507', '715', '404']
Phoebe;Petit%20Ami;Larry;Gregory Sporleder;['507', '715', '404']
Phoebe;Petit%20Ami;Tom;Jack Belts;['715', '404']
Phoebe;Petit%20Ami;Rick;Jason Brooks;['404']
Phoebe;Famille;Frank Jr Buffay;Giovanni Ribisi;['206', '221', '305', '318', '411', '412', '417', '503', '1002', '116', '117', '303', '401', '513', '614', '714', '806', '318', '411', '412', '417', '418', '503', '325', '401', '411', '513', '209', '1002', '1002', '1002']
Phoebe;Famille;Ursula Buffay;Lisa Kudrow;['116', '117', '303', '401', '513', '614', '714', '806', '318', '411', '412', '417', '418', '503', '325', '401', '411', '513', '209', '1002', '1002', '1002']
Phoebe;Famille;Alice Knight ep. Buffay;Debra Jo Rupp;['318', '411', '412', '417', '418', '503', '325', '401', '411', '513', '209', '1002', '1002', '1002']
Phoebe;Famille;Phoebe Abbott;Teri Garr;['325', '401', '411', '513', '209', '1002', '1002', '1002']
Phoebe;Famille;Frank Sr Buffay;Bob Balaban;['513', '209', '1002', '1002', '1002']
Phoebe;Famille;Frances;Audra Lindley;['209', '1002', '1002', '1002']
Phoebe;Famille;Leslie Buffay;Allisyn et Ashley Arm;['1002', '1002', '1002']
Phoebe;Famille;Chandler Buffay;Sierra Marcoux;['1002', '1002']
Phoebe;Famille;Frank Jr Jr Buffay;Dante Pastula;['1002']
Phoebe;Ami;Lowell;Kyle Gass;['915', '314', '103', '1002', '1002', '903']
Phoebe;Ami;Leslie;E. G. Daily;['314', '103', '1002', '1002', '903']
Phoebe;Ami;Lizzy;Beth Grant;['103', '1002', '1002', '903']
Phoebe;Ami;Colleen;Kellie Waymire;['1002', '1002', '903']
Phoebe;Ami;Bill;Jim Meskimen;['1002', '903']
Phoebe;Ami;Mary Ellen;Dedee Pfeiffer;['903']
Phoebe;Voisin;Pas de réponses pour cette recherche.;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";[]
Phoebe;Voisin;"Friends Génération 2 est une base de données de 5000 imagesavec
les biographies des 706 personnages secondaireset les résumés des 236 épisodes des
10 saisons.";©Fan Club Français de Friends&Friends Generation 2;[]
Phoebe;Collègue;Jasmine;Cynthia Mann;['101', '112', '305', '316', '616', '820', '616', '616', '510', '404', '921', '713']
Phoebe;Collègue;Courtière;Lisa Calderon;['616', '820', '616', '616', '510', '404', '921', '713']
Phoebe;Collègue;Arthur;Larry Cox;['616', '616', '510', '404', '921', '713']
Phoebe;Collègue;Jack;Paul Gleason;['616', '510', '404', '921', '713']
Phoebe;Collègue;Bob;Tom Bailey;['510', '404', '921', '713']
Phoebe;Collègue;Mrs Potter;Rhoda Gemignani;['404', '921', '713']
Phoebe;Collègue;Réceptionniste du centre de massage;Debra Azar;['921', '713']
Phoebe;Collègue;Responsable chez Empire Office Suplies;Joyce Guy;['713']
